Time,Duration,Fixture,Combined,Hot,Cold
1/7 5:04:36 PM,6,Kitchen Sink,1.291,1.035,0.256
1/7 5:33:48 PM,108,Kitchen Sink,0.838,0.672,0.166
1/7 6:00:06 PM,6,Kitchen Sink,0.6,0.481,0.119
1/7 6:02:06 PM,108,Kitchen Sink,0.663,0.531,0.132
1/7 6:04:00 PM,18,Kitchen Sink,1.355,1.086,0.269
1/7 6:18:12 PM,132,Kitchen Sink,1.453,1.165,0.288
1/7 6:20:06 PM,162,Kitchen Sink,0.05,0.040,0.010
1/7 6:22:06 PM,6,Kitchen Sink,0.791,0.634,0.157
1/7 6:22:18 PM,6,Sink 2,0.053,0.042,0.011
1/7 6:24:00 PM,18,Kitchen Sink,0.675,0.541,0.134
1/7 6:25:54 PM,48,Sink 3,2.13,1.707,0.423
1/7 6:46:00 PM,6,Sink 3,0.561,0.450,0.111
1/7 6:47:54 PM,78,Sink 4,0.665,0.533,0.132
1/7 6:48:12 PM,6,Kitchen Sink,0.171,0.137,0.034
1/7 6:49:48 PM,24,Sink 3,1.586,1.271,0.315
1/7 6:51:42 PM,6,Kitchen Sink,0.014,0.011,0.003
1/7 6:53:42 PM,174,Bath 1,5.025,4.028,0.997
1/7 6:53:42 PM,18,Kitchen Sink,2.119,1.698,0.421
1/7 6:55:36 PM,78,Kitchen Sink,1.088,0.872,0.216
1/7 6:57:30 PM,18,Sink 2,0.854,0.685,0.169
1/7 6:59:30 PM,6,Sink 4,0.122,0.098,0.024
1/7 7:00:54 PM,18,Kitchen Sink,1.035,0.830,0.205
1/7 7:01:24 PM,30,Kitchen Sink,1.732,1.388,0.344
1/7 7:09:00 PM,60,Sink 4,0.642,0.515,0.127
1/7 7:10:54 PM,24,Kitchen Sink,1.933,1.549,0.384
1/7 7:59:18 PM,90,Kitchen Sink,1.454,1.165,0.289
1/7 8:10:12 PM,6,Sink 4,0.963,0.772,0.191
1/7 8:29:48 PM,6,CW,2.894,2.894,0.000
1/7 10:27:36 PM,24,Kitchen Sink,1.434,1.149,0.285
1/8 6:08:06 AM,6,Kitchen Sink,0.716,0.574,0.142
1/8 6:20:24 AM,24,Kitchen Sink,1.455,1.167,0.288
1/8 7:40:06 AM,120,Sink 3,0.922,0.739,0.183
1/8 7:47:48 AM,72,Kitchen Sink,0.421,0.338,0.083
1/8 7:54:06 AM,12,Kitchen Sink,0.808,0.648,0.160
1/8 7:56:42 AM,6,Kitchen Sink,0.659,0.528,0.131
1/8 7:59:06 AM,816,Shower 1,2.828,2.267,0.561
1/8 8:14:06 AM,474,Shower 1,3.286,2.635,0.651
1/8 8:29:42 AM,366,Shower 1,2.948,2.364,0.584
1/8 8:36:48 AM,48,Kitchen Sink,1.603,1.285,0.318
1/8 9:03:24 AM,6,Sink 2,1.198,0.961,0.237
1/8 9:05:24 AM,6,Kitchen Sink,0.639,0.512,0.127
1/8 9:07:18 AM,18,Kitchen Sink,0.046,0.037,0.009
1/8 9:09:12 AM,42,Sink 4,1.398,1.121,0.277
1/8 9:11:12 AM,18,Kitchen Sink,0.788,0.632,0.156
1/8 9:13:00 AM,6,Kitchen Sink,0.268,0.215,0.053
1/8 9:14:54 AM,42,Kitchen Sink,0.501,0.402,0.099
1/8 9:18:36 AM,18,Sink 2,1.582,1.268,0.314
1/8 9:45:18 AM,36,CW,1.735,1.735,0.000
1/8 10:02:18 AM,66,Kitchen Sink,2.153,1.726,0.427
1/8 10:04:12 AM,72,Kitchen Sink,2.033,1.630,0.403
1/8 10:06:12 AM,18,Sink 3,1.636,1.312,0.324
