Time,Duration,Fixture,Combined,Hot,Cold
1/2 2:42:24 PM,30,Kitchen Sink,0.757,0.606,0.151
1/2 2:50:00 PM,6,Kitchen Sink,0.947,0.758,0.189
1/2 2:51:54 PM,36,Sink 2,0.087,0.070,0.017
1/2 3:56:06 PM,84,Sink 2,1.779,1.423,0.356
1/2 3:58:06 PM,6,Kitchen Sink,1.897,1.518,0.379
1/2 4:00:00 PM,24,Sink 4,0.546,0.437,0.109
1/2 4:57:36 PM,36,Kitchen Sink,2.02,1.616,0.404
1/2 6:15:00 PM,42,DW1,1.497,1.497,0.000
1/2 6:24:42 PM,54,DW1,1.901,1.901,0.000
1/2 6:31:18 PM,12,Kitchen Sink,0.318,0.254,0.064
1/2 6:34:30 PM,72,DW1,1.37,1.370,0.000
1/2 6:44:12 PM,72,DW1,1.03,1.030,0.000
1/2 6:44:18 PM,60,DW1,1.21,1.210,0.000
1/2 6:52:54 PM,12,Kitchen Sink,0.194,0.155,0.039
1/2 6:53:54 PM,78,DW1,1.143,1.143,0.000
1/2 6:54:06 PM,96,DW1,1.5,1.500,0.000
1/2 7:03:42 PM,66,DW1,1.682,1.682,0.000
1/2 7:13:30 PM,66,DW1,1.578,1.578,0.000
1/2 7:23:18 PM,108,DW1,1.667,1.667,0.000
1/2 7:25:48 PM,24,Sink 4,0.905,0.724,0.181
1/2 7:27:42 PM,36,Kitchen Sink,1.098,0.879,0.219
1/2 7:29:36 PM,156,Kitchen Sink,1.748,1.399,0.349
1/2 7:31:36 PM,66,Kitchen Sink,0.858,0.687,0.171
1/2 7:32:24 PM,72,DW1,1.321,1.321,0.000
1/2 7:34:42 PM,6,Kitchen Sink,0.372,0.298,0.074
1/2 7:36:42 PM,6,Kitchen Sink,0.538,0.430,0.108
1/2 7:42:12 PM,90,DW1,1.573,1.573,0.000
1/2 7:52:00 PM,60,DW1,1.091,1.091,0.000
1/2 8:01:42 PM,102,DW1,1.543,1.543,0.000
1/2 9:52:42 PM,54,Kitchen Sink,1.454,1.163,0.291
1/2 10:40:30 PM,84,Kitchen Sink,1.298,1.039,0.259
1/2 11:27:24 PM,18,Sink 2,0.992,0.794,0.198
1/2 11:29:18 PM,102,Kitchen Sink,1.881,1.505,0.376
1/3 2:34:30 AM,24,Sink 3,0.924,0.740,0.184
1/3 4:27:36 AM,78,Kitchen Sink,2.277,1.823,0.454
1/3 4:29:30 AM,24,Kitchen Sink,0.157,0.126,0.031
1/3 6:34:24 AM,36,Kitchen Sink,1.672,1.338,0.334
1/3 6:36:18 AM,6,Sink 2,0.129,0.103,0.026
1/3 6:38:12 AM,108,Kitchen Sink,1.357,1.086,0.271
1/3 6:40:06 AM,24,Kitchen Sink,0.876,0.701,0.175
1/3 6:42:06 AM,6,Sink 3,0.645,0.516,0.129
1/3 6:44:00 AM,42,Kitchen Sink,0.054,0.043,0.011
1/3 6:45:54 AM,30,Sink 3,0.882,0.706,0.176
1/3 6:47:54 AM,12,Sink 4,0.882,0.706,0.176
1/3 6:59:00 AM,138,Kitchen Sink,0.612,0.490,0.122
1/3 7:00:54 AM,6,Kitchen Sink,0.992,0.794,0.198
1/3 7:02:54 AM,288,Kitchen Sink,0.05,0.040,0.010
1/3 7:04:48 AM,60,Sink 4,1.372,1.098,0.274
1/3 7:26:18 AM,60,Sink 2,0.776,0.621,0.155
1/3 8:16:24 AM,6,Sink 3,0.507,0.406,0.101
1/3 8:37:42 AM,12,Kitchen Sink,1.561,1.249,0.312
1/3 8:39:36 AM,96,Kitchen Sink,1.286,1.029,0.257
1/3 8:41:36 AM,6,Kitchen Sink,0.451,0.361,0.090
1/3 8:42:12 AM,6,Kitchen Sink,0.352,0.282,0.070
1/3 8:43:30 AM,30,Kitchen Sink,1.254,1.004,0.250
1/3 8:44:06 AM,78,Kitchen Sink,0.09,0.072,0.018
1/3 8:45:24 AM,48,Kitchen Sink,0.994,0.796,0.198
1/3 8:46:00 AM,48,Kitchen Sink,0.895,0.716,0.179
1/3 8:47:24 AM,24,Kitchen Sink,1.307,1.046,0.261
1/3 8:48:00 AM,48,Kitchen Sink,0.877,0.702,0.175
1/3 8:49:18 AM,6,Sink 2,0.168,0.134,0.034
1/3 8:49:54 AM,48,Sink 4,0.982,0.786,0.196
1/3 8:51:12 AM,6,Sink 3,0.553,0.443,0.110
1/3 8:53:12 AM,6,Kitchen Sink,0.858,0.687,0.171
1/3 8:55:06 AM,42,Sink 3,1.385,1.109,0.276
1/3 8:57:00 AM,72,Kitchen Sink,0.078,0.062,0.016
1/3 8:58:54 AM,12,Kitchen Sink,0.977,0.782,0.195
1/3 8:59:36 AM,60,Kitchen Sink,0.911,0.729,0.182
1/3 11:35:06 AM,18,Kitchen Sink,1.187,0.950,0.237
1/3 11:40:42 AM,132,Sink 2,0.921,0.737,0.184
1/3 11:42:36 AM,24,Kitchen Sink,1.421,1.137,0.284
1/3 11:44:30 AM,114,Kitchen Sink,0.56,0.448,0.112
1/3 11:44:42 AM,6,Kitchen Sink,0.361,0.289,0.072
1/3 11:46:30 AM,42,Kitchen Sink,1.828,1.463,0.365
1/3 12:39:06 PM,6,Sink 3,0.119,0.095,0.024
1/3 12:41:00 PM,6,Sink 3,0.425,0.340,0.085
1/3 2:19:48 PM,72,CW,1.94,1.940,0.000
1/3 2:20:42 PM,102,Kitchen Sink,1.187,0.950,0.237
1/3 2:24:48 PM,72,CW,2.52,2.520,0.000
1/3 2:44:12 PM,6,Kitchen Sink,0.925,0.740,0.185
1/3 2:46:12 PM,6,Kitchen Sink,0.643,0.515,0.128
1/3 2:48:06 PM,96,Kitchen Sink,0.547,0.438,0.109
1/3 3:23:12 PM,66,Kitchen Sink,1.175,0.941,0.234
1/3 3:56:48 PM,18,Sink 4,1.361,1.089,0.272
1/3 4:19:54 PM,42,Kitchen Sink,1.69,1.353,0.337
1/3 4:21:48 PM,42,Kitchen Sink,1.652,1.322,0.330
1/3 5:51:36 PM,24,Kitchen Sink,1.521,1.217,0.304
1/3 7:09:54 PM,12,Kitchen Sink,0.97,0.776,0.194
1/3 7:11:48 PM,12,Kitchen Sink,0.935,0.748,0.187
1/3 7:36:48 PM,18,Kitchen Sink,1.634,1.308,0.326
1/3 7:38:42 PM,18,Kitchen Sink,2.053,1.643,0.410
1/3 7:40:36 PM,6,Kitchen Sink,0.853,0.683,0.170
1/3 7:42:36 PM,96,Kitchen Sink,0.739,0.592,0.147
1/3 7:44:30 PM,6,Kitchen Sink,0.348,0.279,0.069
1/3 7:55:42 PM,24,Sink 2,1.219,0.976,0.243
1/3 7:56:42 PM,204,Kitchen Sink,1.574,1.260,0.314
1/3 8:28:54 PM,6,Kitchen Sink,0.067,0.054,0.013
1/3 9:41:12 PM,6,Sink 4,1.537,1.230,0.307
1/3 10:24:24 PM,72,Sink 4,1.165,0.933,0.232
1/3 11:27:54 PM,96,Kitchen Sink,1.588,1.271,0.317
1/4 6:02:36 AM,36,Sink 3,0.159,0.127,0.032
1/4 6:04:24 AM,42,Sink 3,1.045,0.837,0.208
1/4 6:04:36 AM,42,Kitchen Sink,0.539,0.432,0.107
1/4 6:06:18 AM,72,Sink 3,1.968,1.576,0.392
1/4 6:07:36 AM,48,Kitchen Sink,0.277,0.222,0.055
1/4 6:19:48 AM,12,Kitchen Sink,0.381,0.305,0.076
1/4 7:00:24 AM,18,Kitchen Sink,1.794,1.437,0.357
1/4 7:08:30 AM,18,Sink 3,2.002,1.603,0.399
1/4 7:09:30 AM,96,Kitchen Sink,1.659,1.328,0.331
1/4 9:05:18 AM,12,Kitchen Sink,1.133,0.907,0.226
1/4 9:39:54 AM,474,Bath 1,2.111,1.690,0.421
1/4 9:41:36 AM,60,Sink 3,0.515,0.412,0.103
1/4 9:43:36 AM,24,Sink 3,1.82,1.457,0.363
1/4 11:17:30 AM,48,Kitchen Sink,1.678,1.344,0.334
1/4 11:19:24 AM,18,Sink 2,0.513,0.411,0.102
1/4 11:21:24 AM,12,Kitchen Sink,0.926,0.741,0.185
1/4 11:23:18 AM,72,Sink 3,1.312,1.051,0.261
1/4 11:25:12 AM,42,Sink 3,0.909,0.728,0.181
1/4 11:42:24 AM,12,Sink 4,1.16,0.929,0.231
1/4 1:16:12 PM,6,Sink 2,0.977,0.782,0.195
1/4 1:35:54 PM,72,Kitchen Sink,1.176,0.942,0.234
1/4 1:37:48 PM,66,Kitchen Sink,0.756,0.605,0.151
1/4 5:24:06 PM,6,Sink 2,0.217,0.174,0.043
1/4 5:50:18 PM,30,Kitchen Sink,1.837,1.471,0.366
1/4 7:35:54 PM,48,Kitchen Sink,0.803,0.643,0.160
1/4 7:50:24 PM,90,Sink 4,0.05,0.040,0.010
1/4 7:52:18 PM,60,Kitchen Sink,2.184,1.749,0.435
1/4 7:54:12 PM,42,Kitchen Sink,1.627,1.303,0.324
1/4 7:56:06 PM,6,Kitchen Sink,0.067,0.054,0.013
1/4 7:58:06 PM,48,Sink 4,0.88,0.705,0.175
1/4 8:01:24 PM,36,Sink 4,1.563,1.252,0.311
1/4 8:03:24 PM,108,Sink 2,1.152,0.922,0.230
1/4 8:05:18 PM,42,Kitchen Sink,0.446,0.357,0.089
1/4 8:12:36 PM,720,Shower 2,2.029,1.625,0.404
1/4 8:55:42 PM,30,Kitchen Sink,1.226,0.982,0.244
1/4 9:17:48 PM,18,CW,2.731,2.731,0.000
1/4 9:30:42 PM,24,Kitchen Sink,1.637,1.311,0.326
1/4 9:55:06 PM,414,Bath 1,5.548,4.442,1.106
1/4 10:35:06 PM,48,Kitchen Sink,0.276,0.221,0.055
1/4 11:16:30 PM,66,Kitchen Sink,1.159,0.928,0.231
1/5 12:36:12 AM,24,Kitchen Sink,0.37,0.296,0.074
1/5 5:19:48 AM,6,Kitchen Sink,2.339,1.874,0.465
1/5 5:21:42 AM,78,Kitchen Sink,1.147,0.919,0.228
1/5 5:24:12 AM,66,Sink 4,1.859,1.489,0.370
1/5 5:26:12 AM,6,Sink 3,0.623,0.499,0.124
1/5 7:22:00 AM,6,Kitchen Sink,0.449,0.360,0.089
1/5 7:24:00 AM,6,Kitchen Sink,1.128,0.904,0.224
1/5 7:25:54 AM,24,Sink 2,1.155,0.925,0.230
1/5 8:12:54 AM,6,Sink 4,1.356,1.086,0.270
1/5 8:14:48 AM,66,Kitchen Sink,1.172,0.939,0.233
1/5 8:21:42 AM,60,CW,1.596,1.596,0.000
1/5 8:25:18 AM,30,Kitchen Sink,0.961,0.770,0.191
1/5 8:27:18 AM,36,Sink 4,1.553,1.244,0.309
1/5 8:50:36 AM,48,Kitchen Sink,0.926,0.742,0.184
1/5 8:51:12 AM,6,Sink 4,0.568,0.455,0.113
1/5 8:52:36 AM,24,Kitchen Sink,0.984,0.788,0.196
1/5 8:54:30 AM,78,Kitchen Sink,0.675,0.541,0.134
1/5 9:36:00 AM,54,CW,1.919,1.919,0.000
1/5 9:39:42 AM,228,Shower 2,2.326,1.863,0.463
1/5 11:39:00 AM,162,Sink 3,0.768,0.615,0.153
1/5 12:15:36 PM,48,Kitchen Sink,1.563,1.252,0.311
1/5 1:10:36 PM,6,Sink 4,0.031,0.025,0.006
1/5 1:12:30 PM,18,Kitchen Sink,0.092,0.074,0.018
1/5 2:43:12 PM,18,Kitchen Sink,0.053,0.042,0.011
1/5 2:48:36 PM,12,Kitchen Sink,0.833,0.667,0.166
1/5 2:50:24 PM,6,Kitchen Sink,0.6,0.481,0.119
1/5 4:02:30 PM,12,Kitchen Sink,1.071,0.858,0.213
1/5 4:28:30 PM,90,Kitchen Sink,0.872,0.698,0.174
1/5 4:38:42 PM,18,Kitchen Sink,0.956,0.766,0.190
1/5 4:59:30 PM,12,Kitchen Sink,0.936,0.750,0.186
1/5 5:01:24 PM,156,Kitchen Sink,1.184,0.948,0.236
1/5 5:03:24 PM,126,Kitchen Sink,1.145,0.917,0.228
1/5 5:05:54 PM,18,Kitchen Sink,0.047,0.038,0.009
1/5 5:13:48 PM,6,Kitchen Sink,1.231,0.986,0.245
1/5 5:18:00 PM,6,Kitchen Sink,0.184,0.147,0.037
1/5 5:19:18 PM,78,Kitchen Sink,1.317,1.055,0.262
1/5 5:38:18 PM,48,Kitchen Sink,1.04,0.833,0.207
1/5 7:00:48 PM,12,Kitchen Sink,1.306,1.046,0.260
1/5 7:17:24 PM,24,Kitchen Sink,1.106,0.886,0.220
1/5 7:19:18 PM,12,Kitchen Sink,1.078,0.863,0.215
1/5 7:37:18 PM,72,Kitchen Sink,0.535,0.429,0.106
1/5 9:37:12 PM,12,Kitchen Sink,0.042,0.034,0.008
1/5 9:39:06 PM,6,Kitchen Sink,0.734,0.588,0.146
1/5 9:56:12 PM,6,Sink 3,1.214,0.972,0.242
1/5 9:58:06 PM,12,Kitchen Sink,0.884,0.708,0.176
1/6 6:15:18 AM,84,Kitchen Sink,1.133,0.908,0.225
1/6 6:17:12 AM,42,Sink 3,0.911,0.730,0.181
1/6 6:19:12 AM,6,Kitchen Sink,0.932,0.747,0.185
1/6 7:37:12 AM,18,Kitchen Sink,1.57,1.258,0.312
1/6 8:06:24 AM,48,Kitchen Sink,0.775,0.621,0.154
1/6 8:08:54 AM,36,Kitchen Sink,0.858,0.687,0.171
1/6 8:31:42 AM,6,Kitchen Sink,0.203,0.163,0.040
1/6 10:08:12 AM,48,Kitchen Sink,0.048,0.038,0.010
1/6 10:53:30 AM,12,Sink 4,0.999,0.800,0.199
1/6 11:59:24 AM,48,CW,2.688,2.688,0.000
1/6 1:25:30 PM,6,Kitchen Sink,0.244,0.196,0.048
1/6 1:35:00 PM,6,Kitchen Sink,0.681,0.546,0.135
1/6 1:37:00 PM,12,Sink 3,1.196,0.958,0.238
1/6 1:45:42 PM,12,Kitchen Sink,1.709,1.369,0.340
1/6 1:47:42 PM,12,Kitchen Sink,0.936,0.750,0.186
1/6 1:49:36 PM,36,Kitchen Sink,0.747,0.599,0.148
1/6 1:55:18 PM,108,Kitchen Sink,1.312,1.051,0.261
1/6 2:11:42 PM,18,Kitchen Sink,1.312,1.051,0.261
1/6 2:13:42 PM,6,Sink 3,0.656,0.526,0.130
1/6 2:15:36 PM,60,Kitchen Sink,1.163,0.932,0.231
1/6 2:17:30 PM,6,Sink 2,0.118,0.095,0.023
1/6 2:48:36 PM,30,Kitchen Sink,0.585,0.469,0.116
1/6 4:00:54 PM,12,Kitchen Sink,1.999,1.602,0.397
1/6 5:34:12 PM,54,Kitchen Sink,0.416,0.333,0.083
1/6 5:46:54 PM,6,Sink 3,0.04,0.032,0.008
1/6 5:48:48 PM,12,Kitchen Sink,1.116,0.894,0.222
1/6 6:05:24 PM,12,Kitchen Sink,1.634,1.309,0.325
1/6 6:08:24 PM,72,DW1,1.496,1.496,0.000
1/6 6:18:12 PM,108,DW1,1.536,1.536,0.000
1/6 6:28:00 PM,72,DW1,1.539,1.539,0.000
1/6 6:37:42 PM,66,DW1,1.413,1.413,0.000
1/6 6:47:30 PM,60,DW1,1.407,1.407,0.000
1/6 6:59:12 PM,48,Kitchen Sink,0.453,0.363,0.090
1/6 7:48:36 PM,12,Kitchen Sink,1.387,1.111,0.276
1/6 8:15:48 PM,60,Kitchen Sink,1.777,1.424,0.353
1/6 8:17:42 PM,6,Kitchen Sink,0.019,0.015,0.004
1/6 8:32:54 PM,6,Kitchen Sink,0.456,0.365,0.091
1/6 9:02:54 PM,60,Kitchen Sink,2.118,1.697,0.421
1/6 9:04:48 PM,18,Kitchen Sink,1.708,1.369,0.339
1/6 9:06:42 PM,54,Kitchen Sink,0.512,0.410,0.102
1/6 9:08:42 PM,90,Kitchen Sink,1.859,1.490,0.369
1/6 9:10:36 PM,54,Sink 2,2.163,1.733,0.430
1/6 9:12:30 PM,12,Kitchen Sink,1.253,1.004,0.249
1/6 9:41:42 PM,6,Kitchen Sink,0.024,0.019,0.005
1/6 9:49:54 PM,84,Kitchen Sink,0.049,0.039,0.010
1/6 9:53:30 PM,54,Kitchen Sink,2.178,1.745,0.433
1/6 9:54:36 PM,54,Kitchen Sink,0.94,0.753,0.187
1/6 10:41:18 PM,12,Sink 4,1.651,1.323,0.328
1/6 10:47:30 PM,12,Sink 3,0.558,0.447,0.111
1/6 10:48:48 PM,24,Sink 3,0.852,0.683,0.169
1/7 1:23:12 AM,6,Kitchen Sink,0.628,0.503,0.125
1/7 3:33:06 AM,6,Kitchen Sink,0.202,0.162,0.040
1/7 5:09:18 AM,6,Kitchen Sink,1.674,1.342,0.332
1/7 5:50:42 AM,6,Kitchen Sink,0.358,0.287,0.071
1/7 6:11:42 AM,6,Kitchen Sink,1.269,1.017,0.252
1/7 6:12:06 AM,606,Shower 2,2.012,1.613,0.399
1/7 6:13:36 AM,6,Kitchen Sink,0.682,0.547,0.135
1/7 6:25:00 AM,36,Kitchen Sink,0.893,0.716,0.177
1/7 6:54:18 AM,30,Kitchen Sink,1.628,1.305,0.323
1/7 6:54:24 AM,24,Kitchen Sink,0.74,0.593,0.147
1/7 7:56:24 AM,96,Kitchen Sink,0.899,0.721,0.178
1/7 8:15:18 AM,54,Kitchen Sink,0.348,0.279,0.069
1/7 8:33:48 AM,24,Kitchen Sink,2.164,1.735,0.429
1/7 8:51:54 AM,60,Sink 3,1.606,1.287,0.319
1/7 8:53:48 AM,24,Sink 3,2.226,1.784,0.442
1/7 8:55:48 AM,48,Kitchen Sink,2.17,1.739,0.431
1/7 9:06:30 AM,384,Shower 1,1.985,1.591,0.394
1/7 9:37:06 AM,414,Shower 1,1.822,1.460,0.362
1/7 10:06:30 AM,6,Sink 2,0.333,0.267,0.066
1/7 10:08:24 AM,84,Sink 2,0.587,0.470,0.117
1/7 10:10:24 AM,54,Sink 4,1.073,0.860,0.213
1/7 11:19:48 AM,6,Kitchen Sink,0.696,0.558,0.138
1/7 11:46:30 AM,66,Kitchen Sink,1.843,1.477,0.366
1/7 12:27:24 PM,48,Kitchen Sink,1.899,1.522,0.377
1/7 12:29:24 PM,12,Kitchen Sink,2.279,1.827,0.452
1/7 12:58:54 PM,18,Sink 3,1.106,0.886,0.220
1/7 1:00:48 PM,48,Sink 4,0.184,0.147,0.037
1/7 1:02:42 PM,30,Sink 2,0.974,0.781,0.193
1/7 1:03:48 PM,36,Kitchen Sink,1.302,1.044,0.258
1/7 1:14:00 PM,300,Kitchen Sink,0.791,0.634,0.157
1/7 1:57:48 PM,12,Sink 2,1.255,1.006,0.249
1/7 2:03:24 PM,66,Kitchen Sink,0.39,0.313,0.077
1/7 2:05:18 PM,6,Kitchen Sink,0.075,0.060,0.015
1/7 2:50:30 PM,114,Kitchen Sink,1.975,1.583,0.392
1/7 2:59:54 PM,42,Kitchen Sink,0.863,0.692,0.171
1/7 3:01:48 PM,54,Sink 2,0.476,0.382,0.094
1/7 3:03:48 PM,48,Kitchen Sink,0.156,0.125,0.031
1/7 3:05:42 PM,36,Kitchen Sink,2.133,1.710,0.423
1/7 3:15:12 PM,24,Kitchen Sink,0.229,0.184,0.045
1/7 3:17:12 PM,6,Sink 2,1.572,1.260,0.312
1/7 3:50:18 PM,36,Kitchen Sink,1.056,0.846,0.210
1/7 3:53:30 PM,6,Kitchen Sink,0.56,0.449,0.111
1/7 5:15:06 PM,36,Sink 3,2.188,1.754,0.434
1/7 6:11:54 PM,588,Shower 1,1.028,0.824,0.204
1/7 6:24:24 PM,24,Kitchen Sink,0.795,0.637,0.158
1/7 6:30:00 PM,84,CW,3.236,3.236,0.000
1/7 7:00:42 PM,18,Kitchen Sink,0.174,0.139,0.035
1/7 7:02:36 PM,66,Kitchen Sink,1.358,1.088,0.270
1/7 7:04:36 PM,30,Kitchen Sink,0.949,0.761,0.188
1/7 8:24:24 PM,66,CW,1.883,1.883,0.000
1/7 9:11:36 PM,90,Sink 3,0.205,0.164,0.041
1/7 9:38:42 PM,6,CW,3.576,3.576,0.000
1/7 10:12:30 PM,48,Kitchen Sink,2.276,1.824,0.452
1/7 10:31:36 PM,24,Sink 2,0.962,0.771,0.191
1/7 10:42:00 PM,408,Bath 2,3.683,2.952,0.731
1/7 10:53:00 PM,6,CW,0.965,0.965,0.000
1/8 12:00:54 AM,18,Kitchen Sink,1.002,0.803,0.199
1/8 12:02:54 AM,54,Sink 3,1.897,1.521,0.376
1/8 12:04:48 AM,90,Kitchen Sink,1.543,1.237,0.306
1/8 12:07:12 AM,108,CW,2.898,2.898,0.000
1/8 5:24:18 AM,48,Kitchen Sink,0.22,0.176,0.044
1/8 6:17:36 AM,12,Kitchen Sink,1.351,1.083,0.268
1/8 6:19:30 AM,6,Sink 4,0.833,0.668,0.165
1/8 6:21:30 AM,6,Sink 2,0.992,0.795,0.197
1/8 7:02:24 AM,30,Kitchen Sink,0.453,0.363,0.090
1/8 7:18:12 AM,6,Kitchen Sink,0.428,0.343,0.085
1/8 7:20:48 AM,24,Kitchen Sink,1.97,1.580,0.390
1/8 7:50:36 AM,6,Kitchen Sink,0.143,0.115,0.028
1/8 8:02:36 AM,12,Kitchen Sink,1.737,1.393,0.344
1/8 8:33:42 AM,174,Kitchen Sink,0.786,0.630,0.156
1/8 8:35:36 AM,192,Sink 2,1.402,1.124,0.278
1/8 9:38:54 AM,36,Kitchen Sink,2.131,1.709,0.422
1/8 9:40:48 AM,54,Kitchen Sink,0.836,0.670,0.166
1/8 10:01:42 AM,12,Kitchen Sink,1.781,1.428,0.353
1/8 10:03:36 AM,60,Kitchen Sink,0.446,0.358,0.088
1/8 10:14:54 AM,48,Sink 2,1.667,1.337,0.330
1/8 10:16:54 AM,6,Sink 2,0.862,0.691,0.171
1/8 10:25:00 AM,90,DW1,1.166,1.166,0.000
1/8 10:34:48 AM,66,DW1,1.334,1.334,0.000
1/8 10:44:30 AM,72,DW1,1.389,1.389,0.000
1/8 10:54:18 AM,132,DW1,1.413,1.413,0.000
1/8 10:57:54 AM,72,Sink 3,1.168,0.936,0.232
1/8 11:04:06 AM,66,DW1,1.631,1.631,0.000
1/8 11:13:54 AM,72,DW1,1.751,1.751,0.000
