Time,Duration,Fixture,Combined,Hot,Cold
1/3 9:57:12 PM,12,Kitchen Sink,0.342,0.274,0.068
1/3 10:01:18 PM,78,DW1,1.305,1.305,0.000
1/3 10:11:06 PM,120,DW1,1.511,1.511,0.000
1/3 10:20:54 PM,54,DW1,1.474,1.474,0.000
1/3 10:30:42 PM,72,DW1,1.021,1.021,0.000
1/3 10:40:24 PM,72,DW1,1.575,1.575,0.000
1/4 4:58:54 AM,12,Sink 3,1.346,1.078,0.268
1/4 5:59:12 AM,48,CW,2.343,2.343,0.000
1/4 7:13:30 AM,12,CW,2.337,2.337,0.000
1/4 7:40:12 AM,6,Kitchen Sink,0.008,0.006,0.002
1/4 8:27:42 AM,60,CW,2.353,2.353,0.000
1/4 8:56:30 AM,126,Sink 4,1.97,1.577,0.393
1/4 8:58:24 AM,6,Sink 3,0.097,0.078,0.019
1/4 9:00:24 AM,12,Kitchen Sink,0.504,0.404,0.100
1/4 9:02:18 AM,6,Kitchen Sink,0.256,0.205,0.051
1/4 12:32:42 PM,78,Sink 4,1.168,0.935,0.233
1/4 12:44:18 PM,6,Kitchen Sink,0.181,0.145,0.036
1/4 2:43:54 PM,6,Kitchen Sink,0.01,0.008,0.002
1/4 2:45:54 PM,6,Sink 2,0.62,0.496,0.124
1/4 2:54:06 PM,12,Kitchen Sink,1.128,0.903,0.225
1/4 2:56:00 PM,54,Kitchen Sink,0.825,0.661,0.164
1/4 2:58:00 PM,192,Kitchen Sink,1.608,1.288,0.320
1/4 2:59:54 PM,30,Kitchen Sink,0.996,0.798,0.198
1/4 6:29:36 PM,66,Sink 4,2.073,1.660,0.413
1/4 8:09:30 PM,36,Kitchen Sink,1.042,0.834,0.208
1/4 8:11:24 PM,6,Sink 3,0.273,0.219,0.054
1/4 8:43:30 PM,36,Kitchen Sink,0.742,0.594,0.148
1/4 8:46:42 PM,12,Kitchen Sink,0.774,0.620,0.154
1/4 8:48:42 PM,84,Kitchen Sink,1.569,1.256,0.313
1/4 8:50:36 PM,6,Sink 2,0.563,0.451,0.112
1/4 8:52:30 PM,6,Kitchen Sink,0.181,0.145,0.036
1/4 10:19:42 PM,30,Sink 4,1.727,1.383,0.344
1/4 10:21:42 PM,6,Kitchen Sink,0.453,0.363,0.090
1/4 10:23:36 PM,6,Sink 3,0.553,0.443,0.110
1/5 12:13:00 AM,96,CW,2.338,2.338,0.000
1/5 12:53:42 AM,6,Kitchen Sink,1.343,1.076,0.267
1/5 12:55:36 AM,6,Kitchen Sink,0.006,0.005,0.001
1/5 1:27:12 AM,30,CW,2.633,2.633,0.000
1/5 2:51:42 AM,6,Kitchen Sink,0.07,0.056,0.014
1/5 7:16:00 AM,54,Kitchen Sink,0.967,0.775,0.192
1/5 7:18:00 AM,30,Kitchen Sink,1.876,1.503,0.373
1/5 7:19:54 AM,48,Kitchen Sink,0.865,0.693,0.172
1/5 7:20:48 AM,156,Kitchen Sink,0.834,0.668,0.166
1/5 7:21:48 AM,84,Sink 2,0.4,0.320,0.080
1/5 8:40:24 AM,72,CW,2.243,2.243,0.000
1/5 8:47:54 AM,6,Sink 3,2.184,1.749,0.435
1/5 9:07:12 AM,6,Sink 2,0.207,0.166,0.041
1/5 9:17:54 AM,12,Kitchen Sink,2.738,2.193,0.545
1/5 9:19:48 AM,66,Kitchen Sink,0.678,0.543,0.135
1/5 9:21:42 AM,36,Kitchen Sink,1.207,0.967,0.240
1/5 9:55:36 AM,66,Kitchen Sink,1.277,1.023,0.254
1/5 11:58:24 AM,30,Kitchen Sink,2.09,1.674,0.416
1/5 12:00:24 PM,6,Kitchen Sink,0.837,0.670,0.167
1/5 1:06:30 PM,48,Sink 2,2.127,1.704,0.423
1/5 1:08:30 PM,84,Kitchen Sink,1.59,1.274,0.316
1/5 1:10:24 PM,24,Kitchen Sink,0.696,0.557,0.139
1/5 1:12:18 PM,6,Kitchen Sink,0.084,0.067,0.017
1/5 1:14:18 PM,42,Kitchen Sink,0.535,0.429,0.106
1/5 2:33:24 PM,90,CW,1.949,1.949,0.000
1/5 3:29:48 PM,18,Sink 4,0.722,0.578,0.144
1/5 3:38:42 PM,6,Kitchen Sink,0.797,0.638,0.159
1/5 3:58:06 PM,30,Kitchen Sink,1.39,1.113,0.277
1/5 4:46:24 PM,6,Sink 4,0.487,0.390,0.097
1/5 4:48:18 PM,30,Kitchen Sink,0.169,0.135,0.034
1/5 4:50:12 PM,18,Kitchen Sink,0.449,0.360,0.089
1/5 5:08:42 PM,12,Kitchen Sink,0.048,0.038,0.010
1/5 5:10:36 PM,6,Sink 2,0.353,0.283,0.070
1/5 6:21:42 PM,66,CW,1.589,1.589,0.000
1/5 6:37:54 PM,12,Kitchen Sink,1.691,1.354,0.337
1/5 6:39:48 PM,6,Sink 4,1.363,1.092,0.271
1/5 6:41:42 PM,36,Kitchen Sink,0.048,0.038,0.010
1/5 7:03:18 PM,6,Sink 4,0.027,0.022,0.005
1/5 7:05:12 PM,126,Kitchen Sink,1.463,1.172,0.291
1/5 7:07:12 PM,48,Kitchen Sink,0.134,0.107,0.027
1/5 7:33:24 PM,126,Kitchen Sink,1.316,1.054,0.262
1/5 7:35:18 PM,12,Sink 3,0.118,0.095,0.023
1/5 9:10:24 PM,324,Bath 1,5.484,4.393,1.091
1/5 9:34:24 PM,78,Kitchen Sink,0.706,0.566,0.140
1/5 10:36:36 PM,30,Kitchen Sink,1.543,1.236,0.307
1/5 11:29:42 PM,30,Kitchen Sink,1.621,1.298,0.323
1/6 12:24:36 AM,102,Kitchen Sink,0.207,0.166,0.041
1/6 12:26:36 AM,18,Sink 2,1.173,0.940,0.233
1/6 12:28:30 AM,24,Sink 2,0.537,0.430,0.107
1/6 12:30:24 AM,12,Kitchen Sink,0.583,0.467,0.116
1/6 4:00:48 AM,78,DW1,1.238,1.238,0.000
1/6 4:02:12 AM,144,Kitchen Sink,1.6,1.282,0.318
1/6 4:04:06 AM,54,Kitchen Sink,0.9,0.721,0.179
1/6 4:10:30 AM,66,DW1,1.172,1.172,0.000
1/6 4:20:18 AM,96,DW1,1.271,1.271,0.000
1/6 4:30:06 AM,126,DW1,1.664,1.664,0.000
1/6 4:39:54 AM,84,DW1,1.629,1.629,0.000
1/6 5:55:30 AM,54,Kitchen Sink,0.659,0.528,0.131
1/6 5:57:24 AM,6,Kitchen Sink,0.607,0.486,0.121
1/6 5:59:24 AM,18,Kitchen Sink,0.849,0.680,0.169
1/6 6:01:18 AM,60,Kitchen Sink,1.168,0.936,0.232
1/6 6:03:12 AM,6,Sink 2,0.793,0.635,0.158
1/6 6:05:12 AM,42,Sink 2,2.003,1.605,0.398
1/6 6:07:06 AM,126,Kitchen Sink,0.05,0.040,0.010
1/6 6:18:30 AM,30,Kitchen Sink,0.627,0.502,0.125
1/6 6:20:30 AM,24,Kitchen Sink,0.845,0.677,0.168
1/6 6:22:24 AM,48,Kitchen Sink,0.688,0.551,0.137
1/6 6:24:18 AM,24,Kitchen Sink,1.663,1.333,0.330
1/6 7:02:54 AM,6,Kitchen Sink,1.305,1.046,0.259
1/6 7:14:42 AM,108,Sink 2,0.736,0.590,0.146
1/6 7:17:24 AM,156,Kitchen Sink,0.965,0.773,0.192
1/6 7:19:24 AM,150,Kitchen Sink,1.524,1.221,0.303
1/6 7:37:24 AM,12,Kitchen Sink,1.096,0.878,0.218
1/6 8:22:30 AM,60,Kitchen Sink,0.839,0.672,0.167
1/6 8:27:30 AM,126,Kitchen Sink,1.462,1.171,0.291
1/6 8:31:18 AM,6,Kitchen Sink,1.6,1.282,0.318
1/6 8:33:12 AM,30,Kitchen Sink,1.251,1.002,0.249
1/6 8:35:06 AM,54,Kitchen Sink,1.101,0.882,0.219
1/6 9:32:30 AM,24,Sink 3,1.57,1.258,0.312
1/6 9:59:54 AM,48,Kitchen Sink,0.813,0.651,0.162
1/6 10:01:54 AM,6,Kitchen Sink,0.182,0.146,0.036
1/6 10:43:54 AM,24,Kitchen Sink,1.584,1.269,0.315
1/6 11:24:48 AM,24,Sink 4,1.452,1.163,0.289
1/6 11:28:00 AM,12,Kitchen Sink,1.025,0.821,0.204
1/6 11:30:00 AM,18,Sink 3,0.782,0.627,0.155
1/6 11:48:00 AM,78,Kitchen Sink,1.389,1.113,0.276
1/6 12:11:18 PM,444,Bath 1,3.44,2.756,0.684
1/6 1:03:54 PM,24,Kitchen Sink,0.94,0.753,0.187
1/6 1:10:36 PM,24,Sink 4,1.067,0.855,0.212
1/6 2:09:48 PM,30,Kitchen Sink,0.338,0.271,0.067
1/6 2:32:24 PM,6,Kitchen Sink,0.283,0.227,0.056
1/6 3:58:30 PM,30,Kitchen Sink,1.539,1.233,0.306
1/6 4:59:12 PM,6,Kitchen Sink,0.48,0.385,0.095
1/6 5:49:06 PM,18,Kitchen Sink,1.287,1.031,0.256
1/6 5:49:12 PM,78,Kitchen Sink,0.951,0.762,0.189
1/6 5:51:00 PM,6,Kitchen Sink,0.02,0.016,0.004
1/6 5:51:06 PM,24,Kitchen Sink,0.79,0.633,0.157
1/6 6:53:30 PM,78,DW1,1.401,1.401,0.000
1/6 7:03:18 PM,78,DW1,1.215,1.215,0.000
1/6 7:04:24 PM,78,Sink 2,0.051,0.041,0.010
1/6 7:13:00 PM,60,DW1,1.595,1.595,0.000
1/6 7:22:48 PM,72,DW1,1.18,1.180,0.000
1/6 7:32:36 PM,114,DW1,1.575,1.575,0.000
1/6 7:39:12 PM,42,CW,2.267,2.267,0.000
1/6 7:42:24 PM,126,DW1,1.518,1.518,0.000
1/6 8:45:12 PM,12,Sink 2,0.363,0.291,0.072
1/6 8:46:24 PM,78,Kitchen Sink,1.456,1.167,0.289
1/6 8:51:30 PM,60,Kitchen Sink,0.913,0.732,0.181
1/6 9:39:00 PM,18,Kitchen Sink,0.798,0.639,0.159
1/6 9:41:00 PM,54,Kitchen Sink,1.641,1.315,0.326
1/6 9:56:30 PM,30,Kitchen Sink,0.637,0.510,0.127
1/6 10:51:36 PM,6,Kitchen Sink,0.065,0.052,0.013
1/6 10:53:36 PM,72,Kitchen Sink,0.052,0.042,0.010
1/7 3:44:06 AM,6,Kitchen Sink,0.267,0.214,0.053
1/7 7:26:06 AM,6,Sink 3,0.046,0.037,0.009
1/7 7:45:54 AM,66,Kitchen Sink,1.258,1.008,0.250
1/7 7:46:00 AM,6,Kitchen Sink,0.967,0.775,0.192
1/7 8:08:42 AM,468,Bath 1,3.491,2.798,0.693
1/7 8:55:54 AM,18,Sink 2,0.597,0.479,0.118
1/7 9:22:30 AM,6,CW,1.081,1.081,0.000
1/7 10:11:18 AM,30,Kitchen Sink,0.423,0.339,0.084
1/7 10:13:12 AM,48,Kitchen Sink,1.232,0.987,0.245
1/7 10:19:18 AM,12,Kitchen Sink,0.853,0.684,0.169
1/7 10:55:18 AM,6,Sink 3,0.319,0.256,0.063
1/7 11:05:54 AM,12,Kitchen Sink,1.663,1.333,0.330
1/7 11:47:00 AM,24,Sink 4,0.659,0.528,0.131
1/7 11:49:00 AM,6,Kitchen Sink,0.4,0.321,0.079
1/7 11:49:00 AM,60,Kitchen Sink,2.005,1.607,0.398
1/7 12:24:24 PM,6,Sink 2,1.598,1.281,0.317
1/7 12:26:24 PM,12,Sink 3,1.745,1.399,0.346
1/7 12:28:18 PM,12,Kitchen Sink,2.203,1.766,0.437
1/7 2:40:36 PM,24,Kitchen Sink,1.363,1.092,0.271
1/7 2:52:06 PM,6,CW,2.257,2.257,0.000
1/7 2:57:00 PM,78,CW,1.067,1.067,0.000
1/7 4:06:18 PM,6,CW,2.84,2.840,0.000
1/7 4:11:18 PM,66,CW,1.392,1.392,0.000
1/7 4:58:48 PM,192,Kitchen Sink,1.087,0.871,0.216
1/7 5:08:12 PM,6,Kitchen Sink,0.024,0.019,0.005
1/7 6:37:48 PM,102,Kitchen Sink,1.497,1.200,0.297
1/7 6:52:18 PM,12,Kitchen Sink,1.9,1.523,0.377
1/7 6:54:12 PM,6,Sink 3,0.27,0.216,0.054
1/7 6:56:12 PM,6,Kitchen Sink,1.122,0.899,0.223
1/7 6:58:06 PM,6,Kitchen Sink,0.312,0.250,0.062
1/7 8:08:06 PM,18,Sink 2,1.01,0.810,0.200
1/7 8:10:00 PM,18,Kitchen Sink,0.429,0.344,0.085
1/7 8:12:00 PM,60,Sink 2,1.356,1.087,0.269
1/7 8:13:54 PM,66,Kitchen Sink,0.718,0.575,0.143
1/7 10:34:18 PM,30,Kitchen Sink,1.066,0.854,0.212
1/7 10:36:12 PM,6,Kitchen Sink,0.102,0.082,0.020
1/8 1:20:54 AM,6,Kitchen Sink,0.04,0.032,0.008
1/8 3:49:06 AM,6,Sink 3,0.962,0.771,0.191
1/8 4:59:00 AM,18,Kitchen Sink,1.848,1.482,0.366
1/8 5:00:54 AM,84,Kitchen Sink,1.015,0.814,0.201
1/8 7:54:42 AM,78,Kitchen Sink,1.136,0.911,0.225
1/8 8:01:42 AM,18,Kitchen Sink,2.407,1.930,0.477
1/8 9:11:24 AM,102,Sink 2,1.394,1.118,0.276
1/8 9:13:24 AM,6,Kitchen Sink,0.145,0.116,0.029
1/8 9:15:18 AM,30,Sink 4,0.046,0.037,0.009
1/8 9:25:12 AM,48,Sink 4,0.585,0.469,0.116
1/8 10:16:06 AM,54,Kitchen Sink,0.746,0.598,0.148
1/8 10:18:00 AM,12,Kitchen Sink,1.546,1.240,0.306
1/8 10:19:54 AM,12,Kitchen Sink,0.865,0.694,0.171
1/8 11:27:06 AM,126,Kitchen Sink,0.979,0.785,0.194
1/8 11:28:30 AM,60,CW,2.15,2.150,0.000
1/8 11:29:00 AM,6,Kitchen Sink,0.56,0.449,0.111
1/8 11:31:00 AM,30,Kitchen Sink,2.048,1.642,0.406
1/8 12:51:42 PM,18,Sink 3,1.448,1.161,0.287
1/8 12:53:36 PM,72,Kitchen Sink,1.072,0.860,0.212
1/8 1:14:24 PM,60,Kitchen Sink,1.222,0.980,0.242
1/8 2:20:18 PM,24,Sink 3,0.6,0.481,0.119
1/8 5:06:36 PM,12,Sink 4,1.386,1.111,0.275
1/8 5:08:30 PM,48,Sink 2,1.548,1.241,0.307
1/8 5:23:54 PM,6,Sink 4,0.268,0.215,0.053
1/8 5:25:48 PM,42,Kitchen Sink,0.794,0.637,0.157
1/8 5:27:42 PM,6,Kitchen Sink,0.04,0.032,0.008
1/8 5:29:42 PM,192,Sink 4,1.068,0.856,0.212
1/8 5:31:36 PM,144,Kitchen Sink,1.542,1.236,0.306
1/8 5:40:54 PM,36,Kitchen Sink,1.243,0.997,0.246
1/8 5:42:48 PM,30,Sink 3,0.451,0.362,0.089
1/8 5:52:18 PM,96,Sink 3,1.049,0.841,0.208
1/8 6:16:24 PM,456,Bath 2,5.365,4.302,1.063
1/8 6:39:30 PM,138,Kitchen Sink,1.114,0.893,0.221
1/8 6:51:24 PM,144,CW,1.438,1.438,0.000
1/8 7:55:18 PM,6,Kitchen Sink,2.403,1.927,0.476
1/8 7:57:36 PM,18,Sink 3,1.335,1.070,0.265
1/8 8:56:12 PM,18,Kitchen Sink,0.918,0.736,0.182
1/8 9:35:36 PM,48,Sink 3,0.274,0.220,0.054
1/8 9:43:36 PM,6,Sink 2,0.332,0.266,0.066
1/8 9:45:36 PM,6,Kitchen Sink,0.498,0.399,0.099
1/9 4:57:36 AM,144,Kitchen Sink,0.05,0.040,0.010
1/9 5:31:54 AM,84,DW1,1.301,1.301,0.000
1/9 5:41:42 AM,78,DW1,1.319,1.319,0.000
1/9 5:51:30 AM,78,DW1,1.515,1.515,0.000
1/9 6:01:18 AM,84,DW1,1.506,1.506,0.000
1/9 6:11:00 AM,66,DW1,1.172,1.172,0.000
1/9 6:20:48 AM,96,DW1,1.68,1.680,0.000
1/9 7:13:42 AM,36,Sink 2,2.088,1.675,0.413
1/9 7:31:30 AM,54,Sink 3,0.885,0.710,0.175
1/9 7:33:24 AM,6,Kitchen Sink,0.891,0.715,0.176
1/9 7:52:42 AM,30,Kitchen Sink,1.822,1.461,0.361
1/9 8:09:36 AM,42,CW,2.71,2.710,0.000
1/9 8:14:36 AM,72,CW,2.218,2.218,0.000
1/9 8:19:30 AM,54,CW,1.259,1.259,0.000
1/9 8:24:30 AM,72,CW,2.097,2.097,0.000
1/9 9:04:30 AM,6,Kitchen Sink,1.633,1.310,0.323
1/9 9:06:24 AM,96,Kitchen Sink,0.704,0.565,0.139
1/9 9:20:18 AM,150,Kitchen Sink,1.172,0.940,0.232
1/9 9:22:12 AM,30,Kitchen Sink,1.168,0.937,0.231
1/9 9:22:12 AM,6,Kitchen Sink,0.782,0.627,0.155
1/9 9:51:00 AM,72,Kitchen Sink,0.631,0.506,0.125
1/9 9:52:54 AM,6,Kitchen Sink,0.014,0.011,0.003
1/9 10:25:18 AM,60,DW1,1.438,1.438,0.000
1/9 10:35:06 AM,120,DW1,1.171,1.171,0.000
1/9 10:44:54 AM,114,DW1,1.44,1.440,0.000
1/9 10:54:42 AM,72,DW1,1.442,1.442,0.000
1/9 11:00:24 AM,36,Sink 2,1.504,1.206,0.298
1/9 11:02:18 AM,24,Kitchen Sink,0.833,0.668,0.165
1/9 11:04:30 AM,102,DW1,1.108,1.108,0.000
1/9 1:20:48 PM,12,Kitchen Sink,1.448,1.161,0.287
1/9 1:22:42 PM,12,Kitchen Sink,1.142,0.916,0.226
1/9 1:42:00 PM,12,Sink 4,1.443,1.157,0.286
1/9 2:54:12 PM,6,Kitchen Sink,1.297,1.040,0.257
1/9 3:19:00 PM,54,Kitchen Sink,1.766,1.416,0.350
1/9 3:20:54 PM,6,Sink 2,0.381,0.306,0.075
1/9 4:13:06 PM,30,Sink 3,1.588,1.274,0.314
1/9 5:45:36 PM,6,Sink 2,1.338,1.073,0.265
1/9 6:23:42 PM,84,CW,2.71,2.710,0.000
1/9 7:37:54 PM,6,CW,2.878,2.878,0.000
1/9 8:24:48 PM,6,Sink 4,0.622,0.499,0.123
1/9 8:57:24 PM,36,Kitchen Sink,1.1,0.882,0.218
1/9 9:40:18 PM,36,Kitchen Sink,0.977,0.784,0.193
1/9 10:40:24 PM,84,Kitchen Sink,1.427,1.144,0.283
1/9 10:42:24 PM,66,Sink 4,1.008,0.808,0.200
1/9 10:49:12 PM,174,Bath 1,4.677,3.751,0.926
1/10 12:16:54 AM,18,Kitchen Sink,1.861,1.493,0.368
1/10 12:18:54 AM,6,Kitchen Sink,2.028,1.627,0.401
1/10 12:20:48 AM,60,Kitchen Sink,0.05,0.040,0.010
1/10 12:22:42 AM,78,Kitchen Sink,2.199,1.764,0.435
1/10 2:28:24 AM,6,Kitchen Sink,0.555,0.445,0.110
1/10 2:30:24 AM,12,Sink 2,0.843,0.676,0.167
1/10 6:34:18 AM,66,Sink 3,1.179,0.946,0.233
1/10 6:36:12 AM,24,Kitchen Sink,0.962,0.772,0.190
1/10 6:38:06 AM,138,Sink 3,1.437,1.153,0.284
1/10 6:40:00 AM,6,Kitchen Sink,0.998,0.801,0.197
1/10 7:26:30 AM,36,Kitchen Sink,1.414,1.134,0.280
1/10 8:09:24 AM,12,Kitchen Sink,0.884,0.709,0.175
1/10 8:11:18 AM,12,Sink 2,1.005,0.806,0.199
1/10 8:13:18 AM,42,Kitchen Sink,0.456,0.366,0.090
1/10 8:33:18 AM,30,Kitchen Sink,1.396,1.120,0.276
1/10 8:35:18 AM,108,Kitchen Sink,0.371,0.298,0.073
1/10 8:37:12 AM,12,Kitchen Sink,1.52,1.219,0.301
1/10 8:39:06 AM,30,Sink 3,1.121,0.899,0.222
1/10 9:33:36 AM,72,Sink 2,1.907,1.530,0.377
1/10 9:35:30 AM,12,Sink 4,1.9,1.524,0.376
1/10 9:37:30 AM,6,Kitchen Sink,0.431,0.346,0.085
1/10 9:59:48 AM,12,Sink 2,0.044,0.035,0.009
1/10 10:37:00 AM,24,CW,1.945,1.945,0.000
1/10 11:25:00 AM,60,Kitchen Sink,1.515,1.215,0.300
1/10 11:51:12 AM,54,CW,2.804,2.804,0.000
1/10 12:13:54 PM,246,Shower 1,1.454,1.166,0.288
1/10 12:33:42 PM,18,Kitchen Sink,0.795,0.638,0.157
1/10 1:05:30 PM,12,CW,2.398,2.398,0.000
1/10 1:30:48 PM,12,Kitchen Sink,0.315,0.253,0.062
1/10 2:12:12 PM,6,Kitchen Sink,0.229,0.184,0.045
1/10 2:14:12 PM,66,Sink 3,0.714,0.573,0.141
1/10 2:16:06 PM,6,Kitchen Sink,0.29,0.233,0.057
1/10 3:43:06 PM,6,Sink 2,0.354,0.284,0.070
1/10 4:05:48 PM,96,Kitchen Sink,0.05,0.040,0.010
