Time,Duration,Fixture,Combined,Hot,Cold
1/1 5:59:06 PM,36,Sink 4,1.853,1.482,0.371
1/1 7:13:36 PM,30,Sink 3,1.006,0.805,0.201
1/1 8:08:36 PM,30,Kitchen Sink,1.709,1.367,0.342
1/1 9:01:48 PM,12,Kitchen Sink,0.672,0.538,0.134
1/1 9:03:42 PM,18,Kitchen Sink,1.172,0.937,0.235
1/1 9:14:30 PM,12,Kitchen Sink,1.744,1.395,0.349
1/1 9:16:30 PM,78,Kitchen Sink,0.985,0.788,0.197
1/1 9:18:24 PM,42,Kitchen Sink,0.176,0.141,0.035
1/1 9:20:18 PM,18,Kitchen Sink,0.722,0.578,0.144
1/1 10:00:12 PM,6,Kitchen Sink,1.537,1.229,0.308
1/1 10:35:12 PM,60,Kitchen Sink,2.293,1.834,0.459
1/1 11:40:36 PM,6,Sink 2,0.034,0.027,0.007
1/2 2:18:18 AM,24,Sink 4,1.259,1.007,0.252
1/2 5:29:48 AM,6,Kitchen Sink,0.270,0.216,0.054
1/2 5:31:42 AM,66,Sink 4,0.815,0.652,0.163
1/2 7:28:00 AM,6,Kitchen Sink,1.733,1.387,0.346
1/2 8:01:54 AM,6,Kitchen Sink,1.589,1.271,0.318
1/2 8:03:48 AM,30,Kitchen Sink,2.266,1.813,0.453
1/2 9:47:12 AM,18,Kitchen Sink,0.548,0.438,0.110
1/2 11:23:00 AM,6,Sink 3,0.373,0.298,0.075
1/2 11:24:54 AM,18,Kitchen Sink,1.683,1.347,0.336
1/2 1:56:54 PM,6,Kitchen Sink,0.216,0.173,0.043
1/2 3:07:48 PM,30,Kitchen Sink,0.567,0.454,0.113
1/2 3:09:42 PM,6,Sink 3,0.048,0.038,0.010
1/2 3:11:42 PM,24,Kitchen Sink,1.132,0.906,0.226
1/2 3:17:12 PM,6,Kitchen Sink,0.782,0.626,0.156
1/2 5:33:18 PM,18,Sink 4,1.382,1.106,0.276
1/2 7:50:06 PM,30,Kitchen Sink,1.031,0.825,0.206
1/2 11:26:42 PM,6,Kitchen Sink,0.001,0.001,0.000
1/2 11:28:36 PM,30,Kitchen Sink,0.052,0.042,0.010
1/3 2:04:18 AM,6,Kitchen Sink,0.432,0.346,0.086
1/3 6:00:00 AM,60,Sink 3,0.719,0.576,0.143
1/3 6:28:30 AM,24,Kitchen Sink,1.515,1.213,0.302
1/3 7:44:30 AM,18,Kitchen Sink,0.326,0.261,0.065
1/3 8:02:42 AM,18,Kitchen Sink,1.120,0.896,0.224
1/3 9:20:42 AM,30,Kitchen Sink,0.905,0.724,0.181
1/3 10:08:36 AM,60,DW1,1.383,1.383,0.000
1/3 10:11:06 AM,474,Shower 1,2.326,1.862,0.464
1/3 10:18:24 AM,48,DW1,1.362,1.362,0.000
1/3 10:28:12 AM,84,DW1,1.335,1.335,0.000
1/3 10:37:54 AM,90,DW1,1.523,1.523,0.000
1/3 10:47:42 AM,114,DW1,1.101,1.101,0.000
1/3 4:17:06 PM,60,Kitchen Sink,1.106,0.885,0.221
1/3 5:36:24 PM,90,Kitchen Sink,0.671,0.537,0.134
1/3 6:22:24 PM,6,Kitchen Sink,1.204,0.964,0.240
1/3 7:00:12 PM,6,Kitchen Sink,0.130,0.104,0.026
1/3 7:17:18 PM,552,Shower 2,1.659,1.328,0.331
1/3 7:47:48 PM,540,Shower 2,2.448,1.959,0.489
1/3 8:50:18 PM,150,Kitchen Sink,2.042,1.635,0.407
1/3 9:47:00 PM,120,Kitchen Sink,0.959,0.768,0.191
1/3 9:48:54 PM,6,Sink 2,1.214,0.972,0.242
1/3 10:04:18 PM,162,Sink 4,1.056,0.845,0.211
1/3 10:24:24 PM,78,Sink 2,0.369,0.295,0.074
1/3 10:33:00 PM,96,Kitchen Sink,0.421,0.337,0.084
1/3 10:39:00 PM,138,Shower 2,1.543,1.235,0.308
1/3 11:51:06 PM,126,Sink 2,1.300,1.041,0.259
1/3 11:53:00 PM,6,Kitchen Sink,0.195,0.156,0.039
1/3 11:54:54 PM,24,Kitchen Sink,1.012,0.810,0.202
1/3 11:56:54 PM,24,Kitchen Sink,0.626,0.501,0.125
1/3 11:58:48 PM,30,Sink 4,0.152,0.122,0.030
1/4 12:00:42 AM,12,Kitchen Sink,0.636,0.509,0.127
1/4 12:02:42 AM,6,Kitchen Sink,1.202,0.962,0.240
1/4 12:04:36 AM,84,Kitchen Sink,1.682,1.347,0.335
1/4 6:51:36 AM,6,Kitchen Sink,0.292,0.234,0.058
1/4 7:32:00 AM,12,Kitchen Sink,2.020,1.617,0.403
1/4 7:33:54 AM,18,Sink 2,2.293,1.836,0.457
1/4 7:35:48 AM,60,Kitchen Sink,1.478,1.183,0.295
1/4 7:37:48 AM,84,Sink 4,1.380,1.105,0.275
1/4 7:43:36 AM,468,Shower 1,1.687,1.351,0.336
1/4 8:14:06 AM,384,Shower 1,0.836,0.669,0.167
1/4 9:24:06 AM,36,Kitchen Sink,2.016,1.614,0.402
1/4 9:25:42 AM,30,Kitchen Sink,0.052,0.042,0.010
1/4 10:01:06 AM,126,Kitchen Sink,1.157,0.926,0.231
1/4 12:34:24 PM,6,Sink 4,0.206,0.165,0.041
1/4 2:24:18 PM,324,Kitchen Sink,1.508,1.207,0.301
1/4 2:26:12 PM,12,Sink 2,0.316,0.253,0.063
1/4 2:34:42 PM,36,Kitchen Sink,0.130,0.104,0.026
1/4 3:33:54 PM,36,Kitchen Sink,1.982,1.587,0.395
1/4 3:35:48 PM,24,Kitchen Sink,0.732,0.586,0.146
1/4 5:30:42 PM,48,Sink 2,0.802,0.642,0.160
1/4 6:00:06 PM,42,Kitchen Sink,0.553,0.443,0.110
1/4 6:02:00 PM,6,Sink 3,1.017,0.814,0.203
1/4 6:09:24 PM,18,Kitchen Sink,0.499,0.400,0.099
1/4 6:11:18 PM,84,Sink 3,0.999,0.800,0.199
1/4 6:13:18 PM,12,Kitchen Sink,2.189,1.753,0.436
1/4 6:15:12 PM,72,Kitchen Sink,1.724,1.380,0.344
1/4 6:36:18 PM,12,Kitchen Sink,0.394,0.315,0.079
1/4 6:45:36 PM,12,Sink 4,1.774,1.420,0.354
1/4 7:17:30 PM,42,Kitchen Sink,1.548,1.240,0.308
1/4 7:19:24 PM,156,Kitchen Sink,1.215,0.973,0.242
1/4 7:20:00 PM,54,Kitchen Sink,1.341,1.074,0.267
1/4 7:21:18 PM,36,Kitchen Sink,1.313,1.051,0.262
1/4 7:23:18 PM,54,Sink 2,0.957,0.766,0.191
1/4 7:25:12 PM,84,Sink 3,1.467,1.175,0.292
1/4 11:08:00 PM,6,Kitchen Sink,0.182,0.146,0.036
1/5 9:11:12 AM,30,Kitchen Sink,1.258,1.008,0.250
1/5 9:39:24 AM,72,Kitchen Sink,0.989,0.792,0.197
1/5 12:03:54 PM,24,Kitchen Sink,0.873,0.699,0.174
1/5 12:53:06 PM,108,CW,1.625,1.625,0.000
1/5 1:14:06 PM,42,Kitchen Sink,1.196,0.958,0.238
1/5 1:16:00 PM,24,Kitchen Sink,1.798,1.440,0.358
1/5 1:17:54 PM,72,Kitchen Sink,2.241,1.795,0.446
1/5 1:19:54 PM,18,Kitchen Sink,2.418,1.937,0.481
1/5 1:21:48 PM,6,Kitchen Sink,0.149,0.119,0.030
1/5 2:07:24 PM,6,CW,2.614,2.614,0.000
1/5 3:12:00 PM,6,Sink 3,0.257,0.206,0.051
1/5 3:21:42 PM,66,CW,3.038,3.038,0.000
1/5 4:05:36 PM,78,Kitchen Sink,1.423,1.140,0.283
1/5 4:36:00 PM,72,CW,1.624,1.624,0.000
1/5 5:32:36 PM,72,Sink 3,1.410,1.129,0.281
1/5 5:33:42 PM,114,Sink 4,1.025,0.821,0.204
1/5 5:34:30 PM,24,Sink 2,1.466,1.174,0.292
1/5 5:36:24 PM,6,Kitchen Sink,1.072,0.859,0.213
1/5 6:01:48 PM,114,Kitchen Sink,1.801,1.443,0.358
1/5 6:03:42 PM,12,Kitchen Sink,0.304,0.244,0.060
1/5 6:07:12 PM,18,Sink 2,1.629,1.305,0.324
1/5 7:38:30 PM,6,Kitchen Sink,0.547,0.438,0.109
1/5 7:42:12 PM,18,Sink 4,1.266,1.014,0.252
1/5 8:01:42 PM,72,DW1,1.599,1.599,0.000
1/5 8:02:18 PM,48,Kitchen Sink,0.243,0.195,0.048
1/5 8:04:12 PM,12,Kitchen Sink,0.812,0.650,0.162
1/5 8:11:24 PM,126,DW1,1.468,1.468,0.000
1/5 8:21:00 PM,84,Kitchen Sink,1.084,0.868,0.216
1/5 8:21:12 PM,54,DW1,1.231,1.231,0.000
1/5 8:31:00 PM,60,DW1,1.617,1.617,0.000
1/5 8:59:06 PM,6,CW,2.208,2.208,0.000
1/5 9:41:36 PM,60,Kitchen Sink,0.051,0.041,0.010
1/6 5:21:06 AM,102,Kitchen Sink,1.027,0.823,0.204
1/6 5:23:06 AM,36,Kitchen Sink,0.595,0.477,0.118
1/6 5:25:00 AM,72,Sink 4,1.032,0.827,0.205
1/6 5:26:54 AM,6,Sink 3,0.487,0.390,0.097
1/6 6:42:48 AM,6,Sink 3,1.840,1.474,0.366
1/6 6:44:48 AM,72,Kitchen Sink,0.483,0.387,0.096
1/6 7:17:24 AM,24,Kitchen Sink,0.274,0.220,0.054
1/6 7:19:24 AM,6,Sink 3,0.769,0.616,0.153
1/6 7:21:18 AM,18,Sink 3,1.754,1.405,0.349
1/6 7:23:12 AM,54,Kitchen Sink,2.196,1.760,0.436
1/6 7:25:12 AM,24,Kitchen Sink,1.658,1.329,0.329
1/6 10:23:18 AM,84,DW1,1.502,1.502,0.000
1/6 10:31:30 AM,6,Kitchen Sink,0.036,0.029,0.007
1/6 10:33:06 AM,66,DW1,1.677,1.677,0.000
1/6 10:42:48 AM,72,DW1,1.186,1.186,0.000
1/6 10:52:36 AM,42,DW1,1.095,1.095,0.000
1/6 11:02:24 AM,96,DW1,1.268,1.268,0.000
1/6 11:08:48 AM,72,CW,1.330,1.330,0.000
1/6 12:51:24 PM,30,Kitchen Sink,0.528,0.423,0.105
1/6 1:24:48 PM,6,Kitchen Sink,0.559,0.448,0.111
1/6 1:25:12 PM,90,Kitchen Sink,0.595,0.477,0.118
1/6 1:27:06 PM,30,Sink 2,0.263,0.211,0.052
1/6 1:29:06 PM,30,Kitchen Sink,0.922,0.739,0.183
1/6 1:57:48 PM,6,Kitchen Sink,0.043,0.034,0.009
1/6 1:59:48 PM,36,Sink 3,1.137,0.911,0.226
1/6 2:01:42 PM,36,Kitchen Sink,0.338,0.271,0.067
1/6 2:03:36 PM,24,Kitchen Sink,0.045,0.036,0.009
1/6 2:28:24 PM,84,CW,2.352,2.352,0.000
1/6 2:55:48 PM,72,Kitchen Sink,0.654,0.524,0.130
1/6 6:14:48 PM,30,Kitchen Sink,1.708,1.369,0.339
1/6 6:56:42 PM,66,Kitchen Sink,1.884,1.510,0.374
1/6 7:43:18 PM,60,Sink 3,0.742,0.595,0.147
1/6 7:45:18 PM,12,Kitchen Sink,1.896,1.519,0.377
1/6 8:14:24 PM,312,Shower 1,2.332,1.869,0.463
1/6 8:34:36 PM,78,Sink 2,0.218,0.175,0.043
1/6 8:36:30 PM,6,Kitchen Sink,0.060,0.048,0.012
1/6 8:38:30 PM,54,Kitchen Sink,0.961,0.770,0.191
1/6 8:40:24 PM,24,Sink 3,2.030,1.627,0.403
1/6 8:42:18 PM,144,Kitchen Sink,0.386,0.309,0.077
1/6 8:44:18 PM,6,Kitchen Sink,1.323,1.060,0.263
1/6 8:45:00 PM,192,Shower 1,3.286,2.633,0.653
1/6 9:05:48 PM,12,Sink 4,0.993,0.796,0.197
1/6 9:34:06 PM,18,Kitchen Sink,0.988,0.792,0.196
1/7 7:36:06 AM,6,Sink 4,1.947,1.561,0.386
1/7 7:42:12 AM,12,Kitchen Sink,1.507,1.208,0.299
1/7 8:03:54 AM,6,Kitchen Sink,1.806,1.448,0.358
1/7 8:13:36 AM,12,Kitchen Sink,1.394,1.117,0.277
1/7 8:15:36 AM,60,Kitchen Sink,1.709,1.370,0.339
1/7 8:17:30 AM,6,Kitchen Sink,0.315,0.252,0.063
1/7 8:24:36 AM,12,Kitchen Sink,2.184,1.751,0.433
1/7 8:26:30 AM,18,Kitchen Sink,1.686,1.351,0.335
1/7 8:28:30 AM,6,Sink 4,0.560,0.449,0.111
1/7 8:30:24 AM,24,Sink 2,1.985,1.591,0.394
1/7 8:32:18 AM,6,Kitchen Sink,0.358,0.287,0.071
1/7 11:24:06 AM,18,Kitchen Sink,1.825,1.463,0.362
1/7 11:44:30 AM,6,Kitchen Sink,0.135,0.108,0.027
1/7 11:51:42 AM,42,Kitchen Sink,1.513,1.213,0.300
1/7 12:06:48 PM,12,Kitchen Sink,0.293,0.235,0.058
1/7 1:18:06 PM,570,Shower 1,2.812,2.254,0.558
1/7 1:48:36 PM,444,Shower 2,1.986,1.592,0.394
1/7 3:10:48 PM,6,Kitchen Sink,1.767,1.416,0.351
1/7 4:16:48 PM,36,Sink 3,1.382,1.108,0.274
1/7 5:23:18 PM,18,Sink 4,1.170,0.938,0.232
1/7 5:36:48 PM,6,Sink 2,2.570,2.060,0.510
1/7 6:03:30 PM,12,Kitchen Sink,0.661,0.530,0.131
1/7 6:38:54 PM,12,Sink 4,1.048,0.840,0.208
1/7 7:00:36 PM,12,Sink 4,0.340,0.273,0.067
1/7 9:43:48 PM,72,Kitchen Sink,1.479,1.185,0.294
1/7 9:58:06 PM,24,Kitchen Sink,1.566,1.255,0.311
1/8 1:01:42 AM,6,Sink 4,0.372,0.298,0.074
1/8 1:03:36 AM,6,Sink 2,0.173,0.139,0.034
1/8 1:05:36 AM,12,Sink 4,1.554,1.246,0.308
1/8 1:07:30 AM,24,Kitchen Sink,1.322,1.060,0.262
1/8 5:36:42 AM,780,Shower 1,2.890,2.317,0.573
1/8 7:11:42 AM,6,CW,2.932,2.932,0.000
1/8 8:26:48 AM,18,Sink 3,1.187,0.952,0.235
1/8 8:28:48 AM,6,Kitchen Sink,0.309,0.248,0.061
1/8 8:41:06 AM,36,Kitchen Sink,1.844,1.478,0.366
1/8 8:58:00 AM,12,Kitchen Sink,1.167,0.936,0.231
1/8 9:40:06 AM,72,Sink 3,1.685,1.351,0.334
1/8 10:23:12 AM,234,Kitchen Sink,0.727,0.583,0.144
1/8 10:26:48 AM,300,Shower 1,2.798,2.243,0.555
1/8 1:53:30 PM,66,CW,1.824,1.824,0.000
1/8 3:07:48 PM,72,CW,1.885,1.885,0.000
1/8 3:53:48 PM,6,Kitchen Sink,0.398,0.319,0.079
1/8 3:55:42 PM,54,Kitchen Sink,1.434,1.150,0.284
1/8 3:57:36 PM,30,Kitchen Sink,1.594,1.278,0.316
1/8 5:06:12 PM,6,Sink 4,0.404,0.324,0.080
1/8 5:08:06 PM,24,Kitchen Sink,0.574,0.460,0.114
1/8 7:01:24 PM,6,Kitchen Sink,0.336,0.269,0.067
1/8 8:58:42 PM,96,Sink 2,0.049,0.039,0.010
1/8 9:00:36 PM,30,Sink 3,0.743,0.596,0.147
1/8 9:02:30 PM,6,Kitchen Sink,0.474,0.380,0.094
1/8 10:25:30 PM,30,Kitchen Sink,0.526,0.422,0.104
1/8 11:07:54 PM,186,Bath 2,5.178,4.152,1.026
1/8 11:19:18 PM,84,CW,1.821,1.821,0.000
1/8 11:24:12 PM,84,CW,1.618,1.618,0.000
1/8 11:59:54 PM,24,Kitchen Sink,0.531,0.426,0.105
1/9 5:38:48 AM,360,Shower 1,2.061,1.653,0.408
1/9 6:29:00 AM,240,Shower 1,1.905,1.528,0.377
1/9 6:56:36 AM,18,Sink 2,1.434,1.150,0.284
1/9 6:58:30 AM,120,Kitchen Sink,1.181,0.947,0.234
1/9 7:36:30 AM,132,Kitchen Sink,1.314,1.054,0.260
1/9 7:38:24 AM,18,Kitchen Sink,1.502,1.205,0.297
1/9 7:52:42 AM,24,Kitchen Sink,0.711,0.570,0.141
1/9 8:26:24 AM,24,Kitchen Sink,2.171,1.741,0.430
1/9 8:28:18 AM,48,Sink 4,0.624,0.500,0.124
1/9 8:35:30 AM,84,Kitchen Sink,1.822,1.461,0.361
1/9 8:37:24 AM,6,Kitchen Sink,0.112,0.090,0.022
1/9 8:38:54 AM,78,Kitchen Sink,1.168,0.937,0.231
1/9 8:40:36 AM,30,Kitchen Sink,1.754,1.407,0.347
1/9 8:40:48 AM,6,Kitchen Sink,0.192,0.154,0.038
1/9 8:42:42 AM,156,Kitchen Sink,1.312,1.052,0.260
1/9 9:21:36 AM,30,Kitchen Sink,1.560,1.251,0.309
1/9 10:02:30 AM,6,Kitchen Sink,0.442,0.354,0.088
1/9 10:51:06 AM,30,Kitchen Sink,1.921,1.541,0.380
1/9 11:40:00 AM,42,Kitchen Sink,1.281,1.027,0.254
1/9 11:42:00 AM,6,Kitchen Sink,0.983,0.788,0.195
1/9 11:43:54 AM,48,Sink 2,1.090,0.874,0.216
1/9 2:17:06 PM,48,Sink 2,1.321,1.059,0.262
1/9 2:19:00 PM,30,Kitchen Sink,0.799,0.641,0.158
1/9 2:20:54 PM,18,Kitchen Sink,2.134,1.712,0.422
1/9 2:22:54 PM,6,Kitchen Sink,0.579,0.464,0.115
1/9 4:26:00 PM,6,Kitchen Sink,0.003,0.002,0.001
1/9 4:27:54 PM,42,Sink 4,1.430,1.147,0.283
1/9 4:29:48 PM,6,Kitchen Sink,0.393,0.315,0.078
1/9 5:00:18 PM,18,Kitchen Sink,1.555,1.247,0.308
1/9 5:02:12 PM,168,Kitchen Sink,0.166,0.133,0.033
1/9 6:30:54 PM,6,Kitchen Sink,0.591,0.474,0.117
1/9 7:26:54 PM,18,Kitchen Sink,1.297,1.040,0.257
1/9 7:58:12 PM,786,Shower 1,1.673,1.342,0.331
1/9 9:21:24 PM,42,Kitchen Sink,0.217,0.174,0.043
1/9 9:45:36 PM,102,Kitchen Sink,0.798,0.640,0.158
1/10 5:20:30 AM,30,Sink 3,0.817,0.655,0.162
1/10 5:22:30 AM,24,Kitchen Sink,1.364,1.094,0.270
1/10 5:24:24 AM,18,Sink 2,0.953,0.765,0.188
1/10 5:26:18 AM,12,Sink 2,0.227,0.182,0.045
1/10 5:28:00 AM,120,Kitchen Sink,1.213,0.973,0.240
1/10 5:28:18 AM,30,Kitchen Sink,0.653,0.524,0.129
1/10 5:30:12 AM,12,Sink 2,1.419,1.138,0.281
1/10 5:32:06 AM,108,Kitchen Sink,1.611,1.292,0.319
1/10 5:34:06 AM,120,Sink 4,1.177,0.944,0.233
1/10 5:36:00 AM,156,Sink 3,0.968,0.777,0.191
1/10 6:18:30 AM,318,Shower 1,2.228,1.787,0.441
1/10 9:02:48 AM,18,Sink 3,1.881,1.509,0.372
1/10 9:04:48 AM,6,Kitchen Sink,0.769,0.617,0.152
1/10 9:06:42 AM,6,Kitchen Sink,0.008,0.006,0.002
1/10 9:11:24 AM,48,Kitchen Sink,0.374,0.300,0.074
1/10 9:13:24 AM,6,Kitchen Sink,0.462,0.371,0.091
1/10 9:15:12 AM,60,DW1,1.257,1.257,0.000
1/10 9:15:18 AM,24,Kitchen Sink,1.439,1.154,0.285
1/10 9:25:00 AM,90,DW1,1.388,1.388,0.000
1/10 9:34:48 AM,114,DW1,1.407,1.407,0.000
1/10 9:44:36 AM,78,DW1,1.336,1.336,0.000
1/10 11:31:06 AM,6,Kitchen Sink,0.505,0.405,0.100
1/10 4:24:30 PM,12,Kitchen Sink,1.208,0.969,0.239
1/10 4:26:24 PM,6,Kitchen Sink,1.232,0.988,0.244
1/10 4:28:18 PM,6,Sink 2,0.792,0.635,0.157
1/10 5:33:36 PM,12,Kitchen Sink,2.234,1.792,0.442
1/10 5:35:36 PM,72,Sink 2,1.156,0.927,0.229
1/10 5:37:30 PM,72,Kitchen Sink,1.669,1.339,0.330
1/10 5:39:24 PM,12,Kitchen Sink,0.718,0.576,0.142
1/10 5:41:24 PM,78,Kitchen Sink,1.552,1.245,0.307
1/10 5:43:18 PM,6,Kitchen Sink,0.161,0.129,0.032
1/10 5:45:12 PM,66,Sink 4,0.061,0.049,0.012
1/10 5:49:42 PM,6,Kitchen Sink,0.964,0.773,0.191
1/10 5:51:36 PM,48,Kitchen Sink,0.478,0.383,0.095
1/10 5:53:36 PM,18,Sink 4,1.199,0.962,0.237
1/10 5:55:30 PM,108,Kitchen Sink,1.081,0.867,0.214
1/10 5:57:24 PM,48,Kitchen Sink,1.689,1.355,0.334
1/10 5:59:24 PM,72,Kitchen Sink,1.608,1.290,0.318
1/10 6:23:36 PM,6,Kitchen Sink,0.138,0.111,0.027
1/10 6:25:42 PM,30,Kitchen Sink,1.166,0.935,0.231
1/10 6:57:36 PM,12,Kitchen Sink,1.096,0.879,0.217
1/10 7:21:36 PM,6,Kitchen Sink,0.865,0.694,0.171
1/10 7:46:12 PM,30,Kitchen Sink,1.443,1.158,0.285
1/10 7:54:00 PM,6,Sink 4,0.547,0.439,0.108
1/10 7:56:00 PM,12,Kitchen Sink,0.623,0.500,0.123
1/11 6:07:54 AM,414,Shower 2,1.913,1.535,0.378
1/11 6:38:30 AM,330,Shower 1,1.807,1.450,0.357
1/11 9:17:36 AM,42,Kitchen Sink,1.037,0.832,0.205
1/11 9:53:30 AM,246,Bath 1,3.238,2.599,0.639
1/11 10:15:12 AM,72,Kitchen Sink,1.769,1.420,0.349
1/11 10:24:48 AM,18,Kitchen Sink,0.051,0.041,0.010
1/11 10:42:48 AM,96,Kitchen Sink,0.958,0.769,0.189
1/11 11:11:42 AM,12,Sink 4,0.927,0.744,0.183
1/11 11:31:42 AM,6,Kitchen Sink,0.292,0.234,0.058
1/11 11:31:48 AM,84,Kitchen Sink,1.451,1.164,0.287
1/11 11:33:48 AM,78,Kitchen Sink,0.619,0.497,0.122
1/11 3:03:36 PM,36,Kitchen Sink,1.171,0.940,0.231
1/11 3:05:30 PM,36,Kitchen Sink,1.865,1.497,0.368
1/11 3:07:24 PM,90,Sink 3,0.563,0.452,0.111
1/11 3:09:24 PM,6,Sink 4,0.178,0.143,0.035
1/11 3:17:30 PM,36,Kitchen Sink,0.611,0.490,0.121
1/11 5:18:36 PM,36,Kitchen Sink,1.283,1.030,0.253
1/11 5:20:30 PM,36,Sink 2,0.785,0.630,0.155
1/11 5:23:00 PM,18,Kitchen Sink,0.661,0.530,0.131
1/11 6:17:36 PM,288,Shower 1,2.551,2.047,0.504
1/11 6:59:30 PM,72,Kitchen Sink,1.513,1.214,0.299
1/11 7:13:36 PM,18,Sink 4,0.904,0.725,0.179
1/11 7:15:36 PM,18,Sink 3,1.071,0.859,0.212
1/11 8:02:24 PM,126,Kitchen Sink,1.821,1.461,0.360
1/11 9:16:54 PM,462,Shower 1,1.650,1.324,0.326
1/11 9:57:06 PM,6,Sink 4,0.801,0.643,0.158
1/11 9:59:00 PM,6,Kitchen Sink,1.884,1.512,0.372
1/11 10:01:00 PM,30,Kitchen Sink,1.004,0.806,0.198
1/11 11:03:36 PM,906,Shower 1,1.339,1.075,0.264
1/11 11:34:12 PM,348,Shower 1,2.462,1.976,0.486
1/12 4:42:30 AM,264,Shower 2,2.309,1.853,0.456
1/12 5:13:00 AM,414,Shower 1,1.076,0.864,0.212
1/12 6:13:30 AM,78,Kitchen Sink,1.635,1.312,0.323
1/12 7:03:54 AM,54,Sink 2,0.521,0.418,0.103
1/12 7:05:54 AM,36,Kitchen Sink,0.892,0.716,0.176
1/12 7:07:48 AM,66,Kitchen Sink,0.591,0.474,0.117
1/12 7:09:42 AM,6,Kitchen Sink,0.927,0.744,0.183
1/12 7:11:42 AM,12,Sink 4,1.034,0.830,0.204
1/12 7:13:36 AM,150,Sink 3,0.332,0.267,0.065
1/12 7:32:24 AM,582,Shower 1,2.099,1.685,0.414
1/12 8:19:54 AM,66,Kitchen Sink,0.748,0.600,0.148
1/12 8:21:48 AM,6,Kitchen Sink,0.518,0.416,0.102
1/12 8:23:42 AM,36,Kitchen Sink,1.127,0.905,0.222
1/12 8:25:30 AM,66,CW,2.646,2.646,0.000
1/12 8:25:42 AM,18,Kitchen Sink,0.975,0.783,0.192
1/12 8:27:36 AM,12,Kitchen Sink,1.461,1.173,0.288
1/12 8:29:30 AM,6,Kitchen Sink,0.859,0.690,0.169
1/12 8:31:30 AM,24,Kitchen Sink,1.956,1.570,0.386
1/12 8:33:24 AM,36,Sink 2,1.568,1.259,0.309
1/12 8:35:18 AM,72,Sink 4,0.259,0.208,0.051
1/12 8:37:18 AM,6,Sink 4,1.492,1.198,0.294
1/12 8:39:12 AM,48,Kitchen Sink,0.801,0.643,0.158
1/12 8:41:06 AM,18,Kitchen Sink,1.170,0.939,0.231
1/12 8:43:06 AM,12,Kitchen Sink,0.818,0.657,0.161
1/12 8:45:00 AM,6,Kitchen Sink,0.522,0.419,0.103
1/12 9:37:30 AM,42,Kitchen Sink,0.748,0.600,0.148
1/12 9:39:30 AM,6,Sink 2,0.446,0.358,0.088
1/12 9:39:48 AM,6,CW,3.626,3.626,0.000
1/12 9:41:24 AM,6,Sink 2,0.165,0.132,0.033
1/12 9:41:30 AM,618,Shower 1,2.373,1.905,0.468
1/12 9:43:18 AM,48,Kitchen Sink,0.287,0.230,0.057
1/12 10:19:48 AM,90,Kitchen Sink,0.897,0.720,0.177
